text,joy,trust,fear,surprise,sadness,disgust,anger,anticipation,love,worried,disappointed,proud,embarrassed,jealous,calm,excited
This product is absolutely amazing! I love it so much!,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
I'm so happy with my purchase! Exceeded expectations!,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Best decision ever! I'm thrilled!,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Tôi rất vui và hạnh phúc với sản phẩm này!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tuyệt vời! Tôi yêu nó!,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I'm really disappointed with the quality. Very sad.,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
This made me so sad. Not what I expected at all.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Feeling let down and disappointed by this purchase.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Tôi rất thất vọng và buồn về sản phẩm này.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
This is terrible! I'm so angry and frustrated!,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Absolutely furious with this poor service!,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
I'm disgusted and angry. Complete waste of money!,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
Tôi rất tức giận! Dịch vụ tệ!,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
I'm worried this won't work properly. Feeling anxious.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Concerned and fearful about the safety of this product.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
I'm scared and worried it might break easily.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Tôi lo lắng về chất lượng sản phẩm.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Wow! I'm surprised by how good this is!,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Didn't expect this! Pleasantly surprised!,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I'm shocked at how amazing this turned out!,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Thật ngạc nhiên! Tốt hơn tôi nghĩ!,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Can't wait to use this! So excited and hopeful!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Looking forward to seeing the results. Feeling optimistic!,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I'm eager and excited to try this out!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Tôi rất mong chờ! Hào hứng quá!,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Everything works as expected. I'm satisfied and calm.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Reliable product. Feeling peaceful and content.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
No issues so far. Calm and trusting the quality.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sản phẩm ổn định. Tôi tin tưởng.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I'm so proud of this purchase! Great choice!,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Feeling proud and satisfied with my decision.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
This makes me proud to own it!,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
I'm a bit embarrassed I didn't buy this sooner.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Feeling embarrassed about my initial doubts.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Slightly embarrassed to admit I was wrong about this.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
I'm jealous of people who discovered this earlier!,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Feeling a bit jealous seeing others enjoy this.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Wish I had found this sooner. Slightly jealous.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
I'm excited but also worried about the outcome.,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Happy yet surprised by the unexpected features.,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Disappointed but hopeful it will improve.,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Angry but also sad about this situation.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Tôi vui nhưng cũng lo lắng một chút.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hạnh phúc nhưng ngạc nhiên về giá cả.,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The product is okay. Nothing special.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
It works fine. No complaints.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Standard quality. As described.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sản phẩm bình thường.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Absolutely love this! Best purchase ever!,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
So disappointed and frustrated. Waste of money.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
I'm thrilled and can't contain my excitement!,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Feeling anxious and fearful about using this.,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Pleasantly surprised! Exceeded all expectations!,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Calm and satisfied with the performance.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I'm proud to own this quality product!,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
